FÁZA,TERMÍN,VR,DOM,NÁZOV,ORIENTÁCIA,PODLAŽIE,IZBY,INTERIÉR M²,EXTERIÉR M²,SPOLU M²,ZVÝHODNENÁ CENA,CENNÍKOVÁ CENA,STAV,POROVNAŤ
Residence,2026,,O,O1,Z,0.,3,"83,03","56,34","139,37",368 618 €,417 764 €,V,
Residence,2026,,O,O14,SZ,1.,3,"76,05","5,92","81,97",303 683 €,347 959 €,V,
Residence,2026,,O,O15,SV,1.,4,"93,53","33,99","127,52",424 979 €,456 852 €,V,
UP,2027,,S,S102,S,1.,2,"46,10","2,43","48,53",229 799 €,252 779 €,V,
UP,2027,,S,S103,SZ,1.,3,"63,71","4,84","68,55",286 723 €,315 395 €,V,
UP,2027,,S,S104,JZ,1.,3,"76,73","25,85","102,58",325 427 €,357 970 €,V,
Plaza,2029,,T,T21,SV,2.,2,"46,07","4,50","50,57",232 296 €,267 140 €,V,
Plaza,2029,,T,T23,V,2.,2,"45,82","4,56","50,38",226 006 €,259 906 €,V,
Plaza,2029,,T,T26,V,2.,2,"45,40","5,21","50,61",227 523 €,261 651 €,V,
Residence,2026,,O,O17,JV,1.,3,"71,20","32,67","103,87",316 060 €,361 264 €,V,
Residence,2026,,O,O18,J,1.,1,"32,59","10,50","43,09",174 917 €,188 035 €,V,
Residence,2026,,O,O2,SZ,0.,3,"78,25","65,70","143,95",359 409 €,407 864 €,V,
UP,2027,,S,S105,J,1.,2,"43,78","18,23","62,01",258 026 €,283 829 €,V,
UP,2027,,S,S109,J,1.,2,"43,78","18,23","62,01",258 026 €,283 829 €,V,
UP,2027,,S,S115,S,1.,2,"46,10","2,43","48,53",229 799 €,252 779 €,V,
Plaza,2029,,T,T29,JZ,2.,2,"48,25","7,82","56,07",248 112 €,285 328 €,V,
Plaza,2029,,T,T211,Z,2.,1,"30,21","5,70","35,91",171 330 €,197 030 €,V,
Plaza,2029,,T,T212,Z,2.,2,"52,02","5,78","57,80",251 600 €,289 340 €,V,
Residence,2026,,O,O25,SV,2.,4,"93,53","11,84","105,37",409 373 €,440 076 €,V,
Residence,2026,,O,O57,JV,5.,3,"71,20","19,80","91,00",313 997 €,359 047 €,V,
Residence,2026,,O,O73,Z,7.,1,"32,86","5,92","38,78",182 252 €,195 921 €,V,
UP,2027,,S,S214,S,2.,2,"46,10","4,83","50,93",237 509 €,261 260 €,V,
UP,2027,,S,S301,S,3.,2,"46,10","4,83","50,93",239 391 €,263 330 €,V,
UP,2027,,S,S403,SZ,4.,3,"63,71","4,83","68,54",293 289 €,322 618 €,V,
Plaza,2029,,T,T214,Z,2.,2,"43,81","3,94","47,75",233 705 €,268 761 €,V,
Plaza,2029,,T,T31,SV,3.,2,"46,07","6,30","52,37",239 840 €,275 816 €,V,
Plaza,2029,,T,T310,Z,3.,2,"43,38","4,18","47,56",237 185 €,272 763 €,V,
Residence,2026,,O,O84,JV,8.,5,"138,02","94,96","232,98",643 363 €,691 615 €,V,
Residence,2026,,P,P13,Z,1.,2,"52,98","34,05","87,03",275 178 €,295 816 €,V,
Residence,2026,,P,P14,Z,1.,"1,5","38,55","27,43","65,98",221 427 €,238 034 €,V,
UP,2027,,S,S414,S,4.,2,"46,10","4,83","50,93",241 274 €,265 401 €,V,
UP,2027,,S,S513,SV,5.,2,"46,55","4,83","51,38",244 919 €,269 411 €,V,
UP,2027,,S,S602,S,6.,2,"46,10","4,83","50,93",245 039 €,269 543 €,V,
Plaza,2029,,T,T312,Z,3.,2,"52,02","6,37","58,39",257 908 €,296 594 €,V,
Plaza,2029,,T,T317,SZ,3.,3,"64,66","6,47","71,13",299 424 €,344 338 €,V,
Plaza,2029,,T,T44,JV,4.,2,"49,37","32,87","82,24",283 412 €,325 924 €,V,
Residence,2026,,P,P15,Z,1.,2,"49,22","10,72","59,94",285 676 €,307 102 €,V,
Residence,2026,,P,P16,V,1.,"1,5","38,55","47,11","85,66",243 944 €,262 240 €,V,
Residence,2026,,P,P26,SZ,2.,3,"75,80","5,92","81,72",306 965 €,351 487 €,V,
UP,2027,,S,S604,JZ,6.,3,"76,73","4,83","81,56",314 922 €,346 414 €,V,
UP,2027,,S,S701,S,7.,2,"46,10","4,83","50,93",256 798 €,282 478 €,V,
UP,2027,,S,S708,J,7.,2,"43,78","4,83","48,61",259 984 €,285 982 €,V,
Plaza,2029,,T,T45,JZ,4.,3,"58,98","47,20","106,18",347 612 €,399 754 €,V,
Plaza,2029,,T,T46,Z,4.,1,"31,29","2,90","34,19",170 080 €,195 591 €,V,
Plaza,2029,,T,T47,Z,4.,2,"43,81","3,94","47,75",239 015 €,274 867 €,V,
Residence,2026,,P,P27,SV,2.,4,"103,05","11,83","114,88",438 039 €,470 892 €,V,
Residence,2026,,P,P37,SV,3.,4,"97,27","11,83","109,10",426 358 €,458 335 €,V,
Residence,2026,,P,P38,V,3.,3,"74,49","11,83","86,32",311 455 €,356 314 €,V,
Plaza,2029,,T,T55,JZ,5.,3,"58,98","6,32","65,30",286 411 €,329 372 €,V,
Plaza,2029,,T,T58,SZ,5.,3,"61,49","5,30","66,79",292 532 €,336 412 €,V,
Plaza,2029,,T,T63,V,6.,1,"28,59","2,60","31,19",165 044 €,189 801 €,V,
Residence,2026,,P,P48,V,4.,3,"74,52","5,92","80,44",308 737 €,353 392 €,V,
Residence,2026,,P,P54,Z,5.,"1,5","38,55","5,92","44,47",203 418 €,218 674 €,V,
Residence,2026,,P,P64,Z,6.,"1,5","38,56","5,92","44,48",205 606 €,221 026 €,V,
Plaza,2029,,T,T65,JZ,6.,3,"58,98","6,09","65,07",287 534 €,330 664 €,V,
Plaza,2029,,T,T78,SZ,7.,3,"61,49","5,79","67,28",297 071 €,341 631 €,V,
Plaza,2029,,T,T86,Z,8.,1,"31,29","2,90","34,19",181 381 €,208 588 €,V,
Residence,2026,,P,P76,SZ,7.,3,"75,80","13,88","89,68",331 812 €,378 197 €,V,
Residence,2026,,P,P78,V,7.,3,"74,49","11,83","86,32",320 288 €,365 810 €,V,
Residence,2026,,P,P84,Z,8.,"1,5","38,56","5,87","44,43",209 980 €,225 729 €,V,
Plaza,2029,,T,T101,SV,10.,2,"46,08","5,05","51,13",247 251 €,284 339 €,V,
Plaza,2029,,T,T118,SZ,11.,3,"60,93","5,30","66,23",300 113 €,345 130 €,V,
Plaza,2029,,T,T121,SV,12.,4,"95,12","12,12","107,24",428 735 €,493 045 €,V,
Residence,2026,,P,P87,V,8.,1,"39,21","5,92","45,13",210 541 €,226 332 €,V,
Residence,2026,,P,P91,JV,9.,5,"132,91","25,74","158,65",611 411 €,657 267 €,V,
